시도군구,광역시도,행정구역,x,y,시도,군구,mc,king,sub,lot,GRDP,인구수,B_ratio,GP
강원도 강릉시,강원도,강릉시,11,4,,,,,,,,,,
강원도 고성군,강원도,고성군,9,0,,,,,,,,,,
강원도 동해시,강원도,동해시,11,5,,,,,,,,,,
강원도 삼척시,강원도,삼척시,11,8,,,,,,,,,,
강원도 속초시,강원도,속초시,9,1,,,,,,,,,,
강원도 양구군,강원도,양구군,8,0,,,,,,,,,,
강원도 양양군,강원도,양양군,10,2,,,,,,,,,,
강원도 영월군,강원도,영월군,10,8,,,,,,,,,,
강원도 원주시,강원도,원주시,10,7,,,,,,,,,,
강원도 인제군,강원도,인제군,9,2,,,,,,,,,,
강원도 정선군,강원도,정선군,11,6,,,,,,,,,,
강원도 철원군,강원도,철원군,6,0,,,,,,,,,,
강원도 춘천시,강원도,춘천시,10,3,,,,,,,,,,
강원도 태백시,강원도,태백시,11,7,,,,,,,,,,
강원도 평창군,강원도,평창군,10,6,,,,,,,,,,
강원도 홍천군,강원도,홍천군,10,4,,,,,,,,,,
강원도 화천군,강원도,화천군,7,0,,,,,,,,,,
강원도 횡성군,강원도,횡성군,10,5,,,,,,,,,,
경기도 가평군,경기도,가평군,9,3,,,,,,,,,,
경기도 고양시,경기도,고양시,4,2,경기도,고양시,11.0,7.0,19.0,25.0,21542187.0,1068641.0,1.48,20.158488210727455
경기도 과천시,경기도,과천시,7,7,,,,,,,,,,
경기도 광명시,경기도,광명시,3,3,경기도,광명시,5.0,1.0,3.0,5.0,8116318.0,315920.0,1.8,25.691054697391746
경기도 광주시,경기도,광주시,8,7,,,,,,,,,,
경기도 구리시,경기도,구리시,9,4,,,,,,,,,,
경기도 군포시,경기도,군포시,5,8,경기도,군포시,3.0,1.0,2.0,4.0,7487177.0,275989.0,1.5,27.128534108243443
경기도 김포시,경기도,김포시,2,3,,,,,,,,,,
경기도 남양주시,경기도,남양주시,8,3,경기도,남양주시,4.0,4.0,1.0,18.0,10974908.0,702545.0,0.5,15.621644165142447
경기도 동두천시,경기도,동두천시,7,2,경기도,동두천시,1.0,1.0,1.0,2.0,1768912.0,94719.0,1.5,18.67536608283449
경기도 부천시,경기도,부천시,2,4,경기도,부천시,6.0,10.0,12.0,17.0,17462247.0,828947.0,1.6470588235294117,21.065577172002552
경기도 성남시,경기도,성남시,7,8,경기도,성남시,8.0,8.0,17.0,13.0,42307526.0,942649.0,2.5384615384615383,44.88152642181767
경기도 수원시,경기도,수원시,6,9,경기도,수원시,11.0,13.0,15.0,30.0,35441134.0,1193894.0,1.3,29.685327173099118
경기도 시흥시,경기도,시흥시,3,5,경기도,시흥시,3.0,4.0,5.0,19.0,16210910.0,475396.0,0.631578947368421,34.09980311151124
경기도 안산시,경기도,안산시,3,6,경기도,안산시,2.0,3.0,4.0,15.0,26110913.0,650559.0,0.6,40.136118322857726
경기도 안성시,경기도,안성시,4,8,경기도,안성시,1.0,1.0,1.0,9.0,9363646.0,183369.0,0.3333333333333333,51.064498361227905
경기도 안양시,경기도,안양시,3,4,경기도,안양시,3.0,3.0,5.0,14.0,18138376.0,565352.0,0.7857142857142857,32.083332154126985
경기도 양주시,경기도,양주시,8,2,경기도,양주시,2.0,2.0,1.0,6.0,6614566.0,222275.0,0.8333333333333334,29.758479361151725
경기도 양평군,경기도,양평군,9,6,,,,,,,,,,
경기도 여주시,경기도,여주시,9,7,,,,,,,,,,
경기도 연천군,경기도,연천군,7,1,,,,,,,,,,
경기도 오산시,경기도,오산시,3,8,경기도,오산시,2.0,3.0,1.0,4.0,5649896.0,226736.0,1.5,24.918389669042412
경기도 용인시,경기도,용인시,7,9,경기도,용인시,9.0,5.0,11.0,24.0,30520652.0,1061440.0,1.0416666666666667,28.75400587880615
경기도 의왕시,경기도,의왕시,6,8,,,,,,,,,,
경기도 의정부시,경기도,의정부시,7,3,경기도,의정부시,5.0,6.0,1.0,12.0,7350069.0,451876.0,1.0,16.265676867105135
경기도 이천시,경기도,이천시,8,8,,,,,,,,,,
경기도 파주시,경기도,파주시,3,2,,,,,,,,,,
경기도 평택시,경기도,평택시,5,9,경기도,평택시,5.0,6.0,3.0,19.0,33792725.0,514876.0,0.7368421052631579,65.63274458316177
경기도 포천시,경기도,포천시,8,1,,,,,,,,,,
경기도 하남시,경기도,하남시,9,5,경기도,하남시,1.0,2.0,1.0,5.0,6491728.0,273587.0,0.8,23.72820345995972
경기도 화성시,경기도,화성시,3,7,경기도,화성시,4.0,9.0,14.0,23.0,77734006.0,818760.0,1.173913043478261,94.94113781816405
경상남도 거제시,경상남도,거제시,9,20,경상남도,거제시,2.0,3.0,2.0,7.0,8948449.0,248130.0,1.0,36.06355136420425
경상남도 거창군,경상남도,거창군,6,15,,,,,,,,,,
경상남도 고성군,경상남도,고성군,7,19,,,,,,,,,,
경상남도 김해시,경상남도,김해시,8,19,경상남도,김해시,4.0,6.0,8.0,12.0,15827827.0,542713.0,1.5,29.164267301501898
경상남도 남해군,경상남도,남해군,6,19,,,,,,,,,,
경상남도 밀양시,경상남도,밀양시,8,16,,,,,,,,,,
경상남도 사천시,경상남도,사천시,6,18,,,,,,,,,,
경상남도 산청군,경상남도,산청군,5,18,,,,,,,,,,
경상남도 양산시,경상남도,양산시,8,17,경상남도,양산시,5.0,3.0,4.0,8.0,10727181.0,351168.0,1.5,30.547148373428104
경상남도 의령군,경상남도,의령군,7,16,,,,,,,,,,
경상남도 진주시,경상남도,진주시,6,17,경상남도,진주시,4.0,3.0,5.0,12.0,8412605.0,347489.0,1.0,24.209701602065103
경상남도 창녕군,경상남도,창녕군,7,15,,,,,,,,,,
경상남도 창원시,경상남도,창원시,7,18,,,,,,,,,,
경상남도 통영시,경상남도,통영시,8,20,,,,,,,,,,
경상남도 하동군,경상남도,하동군,5,19,,,,,,,,,,
경상남도 함안군,경상남도,함안군,7,17,,,,,,,,,,
경상남도 함양군,경상남도,함양군,6,16,,,,,,,,,,
경상남도 합천군,경상남도,합천군,7,14,,,,,,,,,,
경상북도 경산시,경상북도,경산시,11,12,,,,,,,,,,
경상북도 경주시,경상북도,경주시,12,12,,,,,,,,,,
경상북도 고령군,경상북도,고령군,7,13,,,,,,,,,,
경상북도 구미시,경상북도,구미시,9,10,,,,,,,,,,
경상북도 군위군,경상북도,군위군,9,11,,,,,,,,,,
경상북도 김천시,경상북도,김천시,8,11,,,,,,,,,,
경상북도 문경시,경상북도,문경시,9,8,,,,,,,,,,
경상북도 봉화군,경상북도,봉화군,11,9,,,,,,,,,,
경상북도 상주시,경상북도,상주시,8,9,,,,,,,,,,
경상북도 성주군,경상북도,성주군,8,12,,,,,,,,,,
경상북도 안동시,경상북도,안동시,10,10,,,,,,,,,,
경상북도 영덕군,경상북도,영덕군,12,10,,,,,,,,,,
경상북도 영양군,경상북도,영양군,11,10,,,,,,,,,,
경상북도 영주시,경상북도,영주시,10,9,,,,,,,,,,
경상북도 영천시,경상북도,영천시,10,12,,,,,,,,,,
경상북도 예천군,경상북도,예천군,9,9,,,,,,,,,,
경상북도 울릉군,경상북도,울릉군,13,6,,,,,,,,,,
경상북도 울진군,경상북도,울진군,12,9,,,,,,,,,,
경상북도 의성군,경상북도,의성군,10,11,,,,,,,,,,
경상북도 청도군,경상북도,청도군,8,13,,,,,,,,,,
경상북도 청송군,경상북도,청송군,11,11,,,,,,,,,,
경상북도 칠곡군,경상북도,칠곡군,9,12,,,,,,,,,,
경상북도 포항시,경상북도,포항시,12,11,경상북도,포항시,5.0,6.0,1.0,10.0,18577440.0,506494.0,1.2,36.67849964659009
광주광역시 광산구,광주광역시,광산구,2,19,광주광역시,광산구,1.0,5.0,4.0,13.0,12897093.0,405525.0,0.7692307692307693,31.803447383022007
광주광역시 남구,광주광역시,남구,2,21,광주광역시,남구,2.0,3.0,2.0,5.0,3127038.0,218035.0,1.4,14.341908409200357
광주광역시 동구,광주광역시,동구,3,20,,,,,,,,,,
광주광역시 북구,광주광역시,북구,3,19,광주광역시,북구,5.0,5.0,4.0,10.0,9955766.0,433147.0,1.4,22.984728048445447
광주광역시 서구,광주광역시,서구,2,20,광주광역시,서구,2.0,2.0,3.0,7.0,10096608.0,301339.0,1.0,33.50581239069619
대구광역시 남구,대구광역시,남구,9,14,대구광역시,남구,1.0,2.0,1.0,4.0,2947000.0,148057.0,1.0,19.90449624131247
대구광역시 달서구,대구광역시,달서구,8,15,대구광역시,달서구,8.0,4.0,4.0,9.0,11620034.0,568663.0,1.7777777777777777,20.43395473241621
대구광역시 달성군,대구광역시,달성군,9,15,대구광역시,달성군,1.0,2.0,2.0,10.0,7589674.0,256792.0,0.5,29.555726035078976
대구광역시 동구,대구광역시,동구,11,13,대구광역시,동구,2.0,4.0,4.0,11.0,7036716.0,344932.0,0.9090909090909091,20.400299189405448
대구광역시 북구,대구광역시,북구,9,13,대구광역시,북구,4.0,4.0,3.0,9.0,10863537.0,437189.0,1.2222222222222223,24.848605523011788
대구광역시 서구,대구광역시,서구,8,14,대구광역시,서구,1.0,1.0,2.0,6.0,3514231.0,174803.0,0.6666666666666666,20.10395130518355
대구광역시 수성구,대구광역시,수성구,10,14,대구광역시,수성구,7.0,4.0,3.0,11.0,7716974.0,428770.0,1.2727272727272727,17.997933624087505
대구광역시 중구,대구광역시,중구,10,13,대구광역시,중구,2.0,2.0,3.0,4.0,5426313.0,77282.0,1.75,70.214448383841
대전광역시 대덕구,대전광역시,대덕구,5,12,,,,,,,,,,
대전광역시 동구,대전광역시,동구,5,13,대전광역시,동구,1.0,2.0,2.0,7.0,3503256.0,226216.0,0.7142857142857143,15.486331647628814
대전광역시 서구,대전광역시,서구,4,14,대전광역시,서구,3.0,6.0,8.0,13.0,12044882.0,481174.0,1.3076923076923077,25.032279383341578
대전광역시 유성구,대전광역시,유성구,4,13,대전광역시,유성구,4.0,5.0,7.0,15.0,13577419.0,349824.0,1.0666666666666667,38.81214267746066
대전광역시 중구,대전광역시,중구,5,14,대전광역시,중구,3.0,2.0,3.0,5.0,4902752.0,240215.0,1.6,20.409849509814126
부산광역시 강서구,부산광역시,강서구,8,18,부산광역시,강서구,1.0,2.0,3.0,5.0,13354327.0,130298.0,1.2,102.49065219727088
부산광역시 금정구,부산광역시,금정구,10,15,부산광역시,금정구,5.0,2.0,4.0,4.0,4492619.0,238556.0,2.75,18.832555039487584
부산광역시 기장군,부산광역시,기장군,12,16,부산광역시,기장군,2.0,2.0,1.0,4.0,5437095.0,164710.0,1.25,33.01010867585453
부산광역시 남구,부산광역시,남구,11,19,부산광역시,남구,3.0,2.0,4.0,5.0,5708284.0,273707.0,1.8,20.855454920772942
부산광역시 동구,부산광역시,동구,10,17,,,,,,,,,,
부산광역시 동래구,부산광역시,동래구,11,16,부산광역시,동래구,5.0,2.0,2.0,7.0,4063079.0,271562.0,1.2857142857142858,14.961883474123773
부산광역시 부산진구,부산광역시,부산진구,10,16,부산광역시,부산진구,7.0,4.0,5.0,5.0,8516260.0,357284.0,3.2,23.836107970130204
부산광역시 북구,부산광역시,북구,9,16,부산광역시,북구,4.0,1.0,2.0,5.0,3125859.0,290908.0,1.4,10.745180606927276
부산광역시 사상구,부산광역시,사상구,9,17,부산광역시,사상구,2.0,2.0,2.0,3.0,6760826.0,217594.0,2.0,31.07082915889225
부산광역시 사하구,부산광역시,사하구,9,19,부산광역시,사하구,6.0,2.0,2.0,9.0,6900352.0,320254.0,1.1111111111111112,21.546497467635064
부산광역시 서구,부산광역시,서구,9,18,,,,,,,,,,
부산광역시 수영구,부산광역시,수영구,11,18,,,,,,,,,,
부산광역시 연제구,부산광역시,연제구,11,17,부산광역시,연제구,6.0,2.0,5.0,6.0,6744687.0,209980.0,2.1666666666666665,32.12061624916659
부산광역시 영도구,부산광역시,영도구,10,19,,,,,,,,,,
부산광역시 중구,부산광역시,중구,10,18,,,,,,,,,,
부산광역시 해운대구,부산광역시,해운대구,12,17,부산광역시,해운대구,5.0,5.0,6.0,9.0,8845460.0,406312.0,1.7777777777777777,21.770117545137726
서울특별시 강남구,서울특별시,강남구,6,7,서울특별시,강남구,12.0,13.0,16.0,9.0,69186319.0,545938.0,4.555555555555555,126.7292604654741
서울특별시 강동구,서울특별시,강동구,8,5,서울특별시,강동구,5.0,5.0,8.0,8.0,8825479.0,440795.0,2.25,20.021731190235823
서울특별시 강북구,서울특별시,강북구,5,2,서울특별시,강북구,4.0,2.0,4.0,3.0,3207289.0,313705.0,3.3333333333333335,10.223901436062542
서울특별시 강서구,서울특별시,강서구,4,4,서울특별시,강서구,5.0,7.0,5.0,13.0,17607271.0,591599.0,1.3076923076923077,29.76217167371818
서울특별시 관악구,서울특별시,관악구,5,6,서울특별시,관악구,1.0,4.0,5.0,9.0,5836563.0,499869.0,1.1111111111111112,11.676185160512054
서울특별시 광진구,서울특별시,광진구,7,6,서울특별시,광진구,2.0,4.0,9.0,9.0,6342279.0,351263.0,1.6666666666666667,18.05564206876329
서울특별시 구로구,서울특별시,구로구,4,7,서울특별시,구로구,4.0,4.0,4.0,7.0,13816661.0,406751.0,1.7142857142857142,33.968351645109664
서울특별시 금천구,서울특별시,금천구,5,7,서울특별시,금천구,4.0,2.0,2.0,4.0,17162843.0,233066.0,2.0,73.63941115392207
서울특별시 노원구,서울특별시,노원구,6,1,서울특별시,노원구,6.0,4.0,4.0,8.0,6387713.0,532662.0,1.75,11.992056876593413
서울특별시 도봉구,서울특별시,도봉구,5,1,서울특별시,도봉구,2.0,3.0,2.0,4.0,3352742.0,332753.0,1.75,10.075767911934678
서울특별시 동대문구,서울특별시,동대문구,7,4,서울특별시,동대문구,3.0,3.0,4.0,6.0,7328160.0,346080.0,1.6666666666666667,21.174757281553397
서울특별시 동작구,서울특별시,동작구,5,5,서울특별시,동작구,7.0,3.0,4.0,6.0,6362074.0,395636.0,2.3333333333333335,16.080624614544682
서울특별시 마포구,서울특별시,마포구,5,4,서울특별시,마포구,4.0,5.0,12.0,7.0,19474677.0,373951.0,3.0,52.07815195038922
서울특별시 서대문구,서울특별시,서대문구,5,3,서울특별시,서대문구,5.0,5.0,9.0,5.0,8363965.0,310353.0,3.8,26.949844209658036
서울특별시 서초구,서울특별시,서초구,6,6,서울특별시,서초구,8.0,6.0,7.0,5.0,35277030.0,431050.0,4.2,81.83976336851873
서울특별시 성동구,서울특별시,성동구,7,5,서울특별시,성동구,2.0,1.0,6.0,5.0,11657151.0,300410.0,1.8,38.804137678506045
서울특별시 성북구,서울특별시,성북구,6,2,서울특별시,성북구,5.0,5.0,7.0,9.0,6054811.0,442471.0,1.8888888888888888,13.684085510688837
서울특별시 송파구,서울특별시,송파구,8,6,서울특별시,송파구,6.0,8.0,7.0,16.0,28617470.0,676341.0,1.3125,42.31219163114464
서울특별시 양천구,서울특별시,양천구,4,5,서울특별시,양천구,5.0,8.0,6.0,6.0,6931171.0,457887.0,3.1666666666666665,15.13729588304538
서울특별시 영등포구,서울특별시,영등포구,4,6,서울특별시,영등포구,5.0,5.0,9.0,7.0,34299880.0,367916.0,2.7142857142857144,93.22747583687581
서울특별시 용산구,서울특별시,용산구,6,5,서울특별시,용산구,2.0,3.0,6.0,7.0,12300317.0,229385.0,1.5714285714285714,53.62302242953986
서울특별시 은평구,서울특별시,은평구,4,3,서울특별시,은평구,4.0,4.0,5.0,6.0,4754342.0,479457.0,2.1666666666666665,9.916096751116367
서울특별시 종로구,서울특별시,종로구,6,3,서울특별시,종로구,8.0,4.0,10.0,4.0,31868698.0,151215.0,5.5,210.7509043415005
서울특별시 중구,서울특별시,중구,6,4,서울특별시,중구,4.0,10.0,11.0,3.0,54274488.0,126201.0,8.333333333333334,430.06385052416385
서울특별시 중랑구,서울특별시,중랑구,8,4,서울특별시,중랑구,4.0,4.0,5.0,9.0,4452719.0,396755.0,1.4444444444444444,11.222842812314905
세종특별자치시 세종시,세종특별자치시,세종시,4,11,,,,,,,,,,
울산광역시 남구,울산광역시,남구,12,15,,,,,,,,,,
울산광역시 동구,울산광역시,동구,12,14,,,,,,,,,,
울산광역시 북구,울산광역시,북구,12,13,,,,,,,,,,
울산광역시 울주군,울산광역시,울주군,11,15,,,,,,,,,,
울산광역시 중구,울산광역시,중구,11,14,,,,,,,,,,
인천광역시 강화군,인천광역시,강화군,1,3,,,,,,,,,,
인천광역시 계양구,인천광역시,계양구,2,5,인천광역시,계양구,1.0,4.0,2.0,7.0,4530580.0,302832.0,1.0,14.960704284884027
인천광역시 남구,인천광역시,남구,2,7,,,,,,,,,,
인천광역시 남동구,인천광역시,남동구,2,8,인천광역시,남동구,4.0,6.0,6.0,10.0,16079177.0,532569.0,1.6,30.191725391451623
인천광역시 동구,인천광역시,동구,1,5,,,,,,,,,,
인천광역시 부평구,인천광역시,부평구,2,6,인천광역시,부평구,5.0,1.0,8.0,10.0,10495350.0,510362.0,1.4,20.564520869500473
인천광역시 서구,인천광역시,서구,1,4,,,,,,,,,,
인천광역시 연수구,인천광역시,연수구,1,8,인천광역시,연수구,4.0,5.0,5.0,8.0,11300722.0,367321.0,1.75,30.765248923965686
인천광역시 옹진군,인천광역시,옹진군,0,8,,,,,,,,,,
인천광역시 중구,인천광역시,중구,1,7,인천광역시,중구,3.0,3.0,1.0,11.0,14559776.0,136013.0,0.6363636363636364,107.04694404211362
전라남도 강진군,전라남도,강진군,1,22,,,,,,,,,,
전라남도 고흥군,전라남도,고흥군,3,22,,,,,,,,,,
전라남도 곡성군,전라남도,곡성군,3,18,,,,,,,,,,
전라남도 광양시,전라남도,광양시,5,20,,,,,,,,,,
전라남도 구례군,전라남도,구례군,4,18,,,,,,,,,,
전라남도 나주시,전라남도,나주시,1,20,,,,,,,,,,
전라남도 담양군,전라남도,담양군,2,18,,,,,,,,,,
전라남도 목포시,전라남도,목포시,0,20,전라남도,목포시,2.0,2.0,1.0,7.0,4222818.0,229744.0,0.7142857142857143,18.380536597256075
전라남도 무안군,전라남도,무안군,1,19,전라남도,무안군,1.0,1.0,1.0,3.0,2997313.0,81144.0,1.0,36.93819629300996
전라남도 보성군,전라남도,보성군,3,21,,,,,,,,,,
전라남도 순천시,전라남도,순천시,4,20,,,,,,,,,,
전라남도 신안군,전라남도,신안군,0,19,,,,,,,,,,
전라남도 여수시,전라남도,여수시,4,21,,,,,,,,,,
전라남도 영광군,전라남도,영광군,1,17,,,,,,,,,,
전라남도 영암군,전라남도,영암군,1,21,,,,,,,,,,
전라남도 완도군,전라남도,완도군,2,23,,,,,,,,,,
전라남도 장성군,전라남도,장성군,2,17,,,,,,,,,,
전라남도 장흥군,전라남도,장흥군,2,22,,,,,,,,,,
전라남도 진도군,전라남도,진도군,0,22,,,,,,,,,,
전라남도 함평군,전라남도,함평군,1,18,,,,,,,,,,
전라남도 해남군,전라남도,해남군,0,21,,,,,,,,,,
전라남도 화순군,전라남도,화순군,4,19,,,,,,,,,,
전라북도 고창군,전라북도,고창군,1,16,,,,,,,,,,
전라북도 군산시,전라북도,군산시,2,14,전라북도,군산시,2.0,3.0,1.0,7.0,9098915.0,269779.0,0.8571428571428571,33.72729159793757
전라북도 김제시,전라북도,김제시,3,15,,,,,,,,,,
전라북도 남원시,전라북도,남원시,5,17,,,,,,,,,,
전라북도 무주군,전라북도,무주군,5,15,,,,,,,,,,
전라북도 부안군,전라북도,부안군,2,15,,,,,,,,,,
전라북도 순창군,전라북도,순창군,3,17,,,,,,,,,,
전라북도 완주군,전라북도,완주군,4,15,,,,,,,,,,
전라북도 익산시,전라북도,익산시,3,14,,,,,,,,,,
전라북도 임실군,전라북도,임실군,4,17,,,,,,,,,,
전라북도 장수군,전라북도,장수군,5,16,,,,,,,,,,
전라북도 전주시,전라북도,전주시,3,16,전라북도,전주시,6.0,7.0,2.0,22.0,15300987.0,654963.0,0.6818181818181818,23.361605159375415
전라북도 정읍시,전라북도,정읍시,2,16,,,,,,,,,,
전라북도 진안군,전라북도,진안군,4,16,,,,,,,,,,
제주특별자치도 서귀포시,제주특별자치도,서귀포시,4,25,,,,,,,,,,
제주특별자치도 제주시,제주특별자치도,제주시,4,24,제주특별자치도,제주시,6.0,1.0,3.0,10.0,14343720.0,489202.0,1.0,29.320648729972486
충청남도 계룡시,충청남도,계룡시,4,12,,,,,,,,,,
충청남도 공주시,충청남도,공주시,4,10,,,,,,,,,,
충청남도 금산군,충청남도,금산군,3,13,,,,,,,,,,
충청남도 논산시,충청남도,논산시,3,12,,,,,,,,,,
충청남도 당진시,충청남도,당진시,2,9,충청남도,당진시,1.0,1.0,1.0,5.0,11630730.0,166815.0,0.6,69.72232712885531
충청남도 보령시,충청남도,보령시,2,11,,,,,,,,,,
충청남도 부여군,충청남도,부여군,2,12,,,,,,,,,,
충청남도 서산시,충청남도,서산시,1,10,충청남도,서산시,1.0,1.0,1.0,7.0,17793365.0,174663.0,0.42857142857142855,101.87254885121634
충청남도 서천군,충청남도,서천군,2,13,,,,,,,,,,
충청남도 아산시,충청남도,아산시,3,9,,,,,,,,,,
충청남도 예산군,충청남도,예산군,3,10,,,,,,,,,,
충청남도 천안시,충청남도,천안시,4,9,충청남도,천안시,4.0,5.0,9.0,21.0,26165157.0,652845.0,0.8571428571428571,40.078666452220666
충청남도 청양군,충청남도,청양군,3,11,,,,,,,,,,
충청남도 태안군,충청남도,태안군,1,9,,,,,,,,,,
충청남도 홍성군,충청남도,홍성군,2,10,,,,,,,,,,
충청북도 괴산군,충청북도,괴산군,7,11,,,,,,,,,,
충청북도 단양군,충청북도,단양군,7,10,,,,,,,,,,
충청북도 보은군,충청북도,보은군,7,12,,,,,,,,,,
충청북도 영동군,충청북도,영동군,6,14,,,,,,,,,,
충청북도 옥천군,충청북도,옥천군,6,13,,,,,,,,,,
충청북도 음성군,충청북도,음성군,5,10,,,,,,,,,,
충청북도 제천시,충청북도,제천시,8,10,,,,,,,,,,
충청북도 증평군,충청북도,증평군,6,11,,,,,,,,,,
충청북도 진천군,충청북도,진천군,5,11,,,,,,,,,,
충청북도 청주시,충청북도,청주시,6,12,충청북도,청주시,6.0,8.0,2.0,27.0,36038153.0,840047.0,0.5925925925925926,42.90016272899016
충청북도 충주시,충청북도,충주시,6,10,,,,,,,,,,
